"role","degree_order","avg_ordered_degree"
"Manufacturer",1,33.7
"Manufacturer",2,29.85
"Manufacturer",3,28.35
"Manufacturer",4,26.25
"Manufacturer",5,24.15
"Manufacturer",6,23.35
"Manufacturer",7,22.15
"Manufacturer",8,21.1
"Manufacturer",9,20.4
"Manufacturer",10,19.5
"Manufacturer",11,18.75
"Manufacturer",12,17.65
"Manufacturer",13,16.4
"Manufacturer",14,15.3
"Manufacturer",15,14.3
"Manufacturer",16,13.3
"Manufacturer",17,12.25
"Manufacturer",18,11.35
"Manufacturer",19,10
"Manufacturer",20,8.35
"Manufacturer",21,7.6
"Manufacturer",22,6.25
"Manufacturer",23,4.85
"Manufacturer",24,3.95
"Manufacturer",25,3.2
"Manufacturer",26,2.2
"Manufacturer",27,1.8
"Manufacturer",28,1.3
"Manufacturer",29,0.8
"Manufacturer",30,0.45
"Manufacturer",31,0.1
"Manufacturer",32,0.05
"Manufacturer",33,0
"Retailer",1,21
"Retailer",2,15
"Retailer",3,12
"Retailer",4,10
"Retailer",5,9
"Retailer",6,8
"Retailer",7,8
"Retailer",8,7
"Retailer",9,7
"Retailer",10,7
"Retailer",11,6
"Retailer",12,6
"Retailer",13,6
"Retailer",14,5
"Retailer",15,5
"Retailer",16,5
"Retailer",17,5
"Retailer",18,5
"Retailer",19,5
"Retailer",20,5
"Retailer",21,4
"Retailer",22,4
"Retailer",23,4
"Retailer",24,4
"Retailer",25,4
"Retailer",26,4
"Retailer",27,4
"Retailer",28,4
"Retailer",29,4
"Retailer",30,4
"Retailer",31,4
"Retailer",32,4
"Retailer",33,4
"Retailer",34,4
"Supplier",1,20
"Supplier",2,14
"Supplier",3,12
"Supplier",4,10
"Supplier",5,9
"Supplier",6,8
"Supplier",7,8
"Supplier",8,7
"Supplier",9,7
"Supplier",10,6
"Supplier",11,6
"Supplier",12,6
"Supplier",13,6
"Supplier",14,5
"Supplier",15,5
"Supplier",16,5
"Supplier",17,5
"Supplier",18,5
"Supplier",19,5
"Supplier",20,5
"Supplier",21,4
"Supplier",22,4
"Supplier",23,4
"Supplier",24,4
"Supplier",25,4
"Supplier",26,4
"Supplier",27,4
"Supplier",28,4
"Supplier",29,4
"Supplier",30,4
"Supplier",31,4
"Supplier",32,4
"Supplier",33,4
