"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.85
"Manufacturer",2,24.55
"Manufacturer",3,21.65
"Manufacturer",4,19.65
"Manufacturer",5,17.75
"Manufacturer",6,16.25
"Manufacturer",7,14.9
"Manufacturer",8,13.9
"Manufacturer",9,12.15
"Manufacturer",10,9.9
"Manufacturer",11,8.4
"Manufacturer",12,6.55
"Manufacturer",13,5.25
"Manufacturer",14,4.45
"Manufacturer",15,4.05
"Manufacturer",16,4
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.85
"Manufacturer",29,3.65
"Manufacturer",30,2.9
"Manufacturer",31,2.35
"Manufacturer",32,1.3
"Manufacturer",33,0.35
"Retailer",1,29.55
"Retailer",2,25.2
"Retailer",3,23.05
"Retailer",4,20.7
"Retailer",5,18.35
"Retailer",6,16.75
"Retailer",7,15.5
"Retailer",8,14.45
"Retailer",9,13.45
"Retailer",10,12.7
"Retailer",11,11.5
"Retailer",12,10.3
"Retailer",13,9.45
"Retailer",14,8.75
"Retailer",15,7.9
"Retailer",16,7.5
"Retailer",17,6.85
"Retailer",18,6.35
"Retailer",19,5.75
"Retailer",20,5.5
"Retailer",21,5
"Retailer",22,4.65
"Retailer",23,4.65
"Retailer",24,4.3
"Retailer",25,4.1
"Retailer",26,4.05
"Retailer",27,3.9
"Retailer",28,3.65
"Retailer",29,3.6
"Retailer",30,3.2
"Retailer",31,2.6
"Retailer",32,2
"Retailer",33,1.3
"Retailer",34,0.8
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
